;id;searchQuery;text;timestamp
0;1619677524967190528;repiulet;"Un ruzi*, que he barrat tot d'una, vota pel meu repiulet. No saben ni llegir.
*Aquest, nogensmenys, també era partidari de les dictadures nord-coreana, veneçolana... i ja no he hi volgut veure pas més.";2023-01-29 12:43:00+00:00
1;1620168513376894976;retuitar;podeu demanar la dimissió de Sigfrid Gras sense retuitar feixistes catalans és totalment compatible;2023-01-30 21:14:00+00:00
2;1619742793383170048;retuitar;Perquè, retuitar? Perque fa falta;2023-01-29 17:02:00+00:00
3;1619666435776864256;retuitar;En contra de retuitar genocides, per molt sucós que sigui atacar una desinhibida apologia de la indigència intelectual.;2023-01-29 11:59:00+00:00
4;1619642801406509056;retuitar;Retuit si tu també creus que tampoc s'ha de retuitar tot;2023-01-29 10:25:00+00:00
5;1619495681428959232;retuitar;já ia retuitar KKAAKAKKAAKAK vou ser assim🫶🏻;2023-01-29 00:40:00+00:00
6;1619493816993718272;retuitar;@kanen49 si us plau, deixa de retuitar aquests reptes per nens de 6 anys...;2023-01-29 00:33:00+00:00
7;1620194628803694592;Share;"I’m glad to share that I’ve obtained a new certification: HSK1 (Hànyǔ Shuǐpíng Kǎoshì 1) from Confucius Institute Headquarters! 

#zhonguo #chinese #china #mandarin #languagelearning #poliguot #китай #share lnkd.in/dF7q4vAA";2023-01-30 22:57:00+00:00
8;1620132857305001984;Share;"Aneu perdent llençols. Al final tindreu contenta la base ampla i no marcar perfil propi podeu passar a ser TVE3... comenceu a no tenir Share en molts espais x part meua. No sé si calculeu les coses amb els nínxols d'edat i espectres polítics.
Seguireu sent líders fent coses així?";2023-01-30 18:52:00+00:00
9;1620112479073484800;Share;"Lesportsac Porch Rectangular Cosmetic Cosmetics 6511 G803 Mickey Doodle Women 'S
is.gd/yck31x";2023-01-30 17:31:00+00:00
10;1620112474744954880;Share;"Lesportsac Porch Extra Large Rectangular Cosmetics 7121 G894 Floating Dots Women
is.gd/IrBmvA";2023-01-30 17:31:00+00:00
11;1620112452481617920;Share;"Lesportsac Porch Rectangular Cosmetic Cosmetics 6511 G843 1974 Warp Maze Women '
is.gd/1KOAlp";2023-01-30 17:31:00+00:00
12;1620112390192009216;Share;"Lesportsac Porch Rectangular Cosmetics 6511 G842 1974 Power Pellets Women 'S
is.gd/fsyXcj";2023-01-30 17:31:00+00:00
13;1620108682431467520;Share;"Lesportsac Porch Rectangular Cosmetic Cosmetics 6511 G899 Cloud Gazing Women 'S
is.gd/x3c43T";2023-01-30 17:16:00+00:00
14;1620108674785247232;Share;"Lesportsac Porch Rectangular Cosmetics 6511 G868 Loveyork Women 'S Keith
is.gd/41c3xp";2023-01-30 17:16:00+00:00
15;1620207698993360896;Post;Aventura/TPS/Post-Apocalíptico/zombies;2023-01-30 23:49:00+00:00
16;1620206220014665728;Post;volví a borrar mis post en ig;2023-01-30 23:43:00+00:00
17;1620200624045584384;Post;El ambo post guardia de un obstetra;2023-01-30 23:21:00+00:00
18;1620200448316821504;Post;"➡️ Quackity aparece en el post de @/machika_yt en Instagram! 
instagram.com/p/CoDkcWeuuE_/…";2023-01-30 23:21:00+00:00
19;1620200234973560832;Post;GALVESTON Entitlement:;2023-01-30 23:20:00+00:00
20;1620198941345325056;Post;post recordatorio random de que amo a la Aïda :((((😢💗;2023-01-30 23:15:00+00:00
21;1620195449733881856;Post;"👑Jackson en el post de neomediaworks en IG

➡️""Qué experiencia tan fenomenal fotografiar a @JacksonWang852 por primera vez en India 💫❤️"" #JACKSONININDIA #LollaIndia

🔗instagram.com/p/CoCtzQ3B_j0/…
@teamwangofcl #GOT7 @GOT7 #갓세븐";2023-01-30 23:01:00+00:00
22;1620194480199442432;Post;*qualquer* post da tracklist;2023-01-30 22:57:00+00:00
23;1620194107363557376;Post;NO POST DE LA;2023-01-30 22:55:00+00:00
24;1620194082084503552;Post;NO POST DE LA;2023-01-30 22:55:00+00:00
25;1620193063523033088;Post;En Instagram, en el post de la triple;2023-01-30 22:51:00+00:00
26;1620192880504758272;Post;el post de spreen me puso sensible;2023-01-30 22:50:00+00:00
27;1620192105514815488;Post;"Post del Escorial de Madrid
instagram.com/p/CoA939utebJ/…";2023-01-30 22:47:00+00:00
28;1620189657496702976;Post;Se acabo la QB controversy de esta post temporada;2023-01-30 22:38:00+00:00
29;1620188974127153152;Post;"[📄] #TRANS | 230129
Post de membresia de #JIHOON en #WEVERSE

 ""ja ja ?""

#지훈 #ジフン
#TREASURE #트레저 #トレジャ
@treasuremembers";2023-01-30 22:35:00+00:00
30;1620187654221615104;Post;Linkin Park refuta seu post;2023-01-30 22:30:00+00:00
31;1620187574676647936;Post;"@krystalball 
Racism in America is permanent.

Derrick Bell

piped.video/watch?v=9vqWsU8a…";2023-01-30 22:29:00+00:00
32;1620187434037444608;Post;"@esaagar 

Racism in America is permanent.

Derrick Bell
piped.video/watch?v=9vqWsU8a…";2023-01-30 22:29:00+00:00
33;1620186412799893504;Post;ella’s post (?!!!;2023-01-30 22:25:00+00:00
34;1620186326057496576;Post;ESTE POST D DE DREAMWEKITOS O NO;2023-01-30 22:24:00+00:00
35;1620204633921818624;comentari;"Un comentari absolutament fastigós, únicament entendible des de l'espanyolisme més rabiós i irracional.

Gairebé una desena de dones han estat bàsicament abusades sexualment com perque vinguis a posar-te de perfil d'aquesta manera";2023-01-30 23:37:00+00:00
36;1620201585845637120;comentari;"Avui, al #PleVendrell he escoltat un comentari de la ciutadana vendrellenca @marmarvazquez on recomanava al #PSC que en comptes d'1 moció per urgència han tingut 4 anys per negociar amb la Generalitat inversions. Que la protesta va bé, però millor les reunions.
👇🏻";2023-01-30 23:25:00+00:00
37;1620190042084999168;comentari;Que hi ha molt tabú amb la homoxesualitat? Ho dic pel comentari que has fet.,declarat obertament ..;2023-01-30 22:39:00+00:00
38;1620180456053555200;comentari;Ostia quin comentari mes caspos.;2023-01-30 22:01:00+00:00
39;1620177308425535488;comentari;"No totes les ""catalanas"" som de la Cup, això primer, i segon, espero q no tinguis ni mare, ni germana, ni neboda, perquè les deixes en molt mal lloc ( si es que són catalanas es clar ). Comentari desafortunat.";2023-01-30 21:49:00+00:00
40;1620170769593663488;comentari;La senyora aquesta (no sé qui és) on ha viscut tots aquests anys, per dir que passaria si a Telecinco o Antena 3 es fés un comentari sobre nazisme i independentisme? #elcirc;2023-01-30 21:23:00+00:00
41;1620169049618649088;comentari;el meu comentari l'he fet sense haver-la sentit... però no em sorprèn...;2023-01-30 21:16:00+00:00
42;1620166015584993280;comentari;"Que poc aporta el teu comentari en un moment així. 
Ànims Marc i que aparegui!!";2023-01-30 21:04:00+00:00
43;1620164709315121152;comentari;Heu vist el comentari del Maragall acomiadant-se del Parlament català? diu que s'ha de ser més parlamentari que partidista, i més ciutadà que polític. Això no lliga amb  el comentari que fas oi? QUINA BARRA QUE TENEN!!!! Aquests d'ER son uns falsos tots plegats.;2023-01-30 20:59:00+00:00
44;1620164159718703104;comentari;just avui he tingut una discussió amb un company que em feia exactament el mateix comentari. Dient que no eximia la culpa de l'agressor, però que vaja, que la víctima ja s'ho podia esperar....no me n'he sortit de fer-li entendre.;2023-01-30 20:56:00+00:00
45;1620160694837731328;comentari;"primer de tot gràcies pel teu comentari... val a dir que sóc la primera a pregar que tots els impostos que van a l'exèrcit poguessin anar a sanitat i educació. 
També cal recordar que quan es va deixar Gaza estava tot sembrat i actiu...";2023-01-30 20:43:00+00:00
46;1620160485508411392;comentari;Molt be, Toni i colaboradors......pel comentari pel Manuel Vidal i Zona Franca;2023-01-30 20:42:00+00:00
47;1620158650756239360;comentari;"Voro entrenador interí del València.

Comentari atemporal.";2023-01-30 20:34:00+00:00
48;1620158192423665664;comentari;aquest comentari ha fet molt de mal al barri marítim però molta gràcia i orgull a la vilafranca metropolitana;2023-01-30 20:33:00+00:00
49;1620152385334284288;comentari;Soc un mindundi i no és representatiu de res però només cal fer una simple divisió per veure que el meu comentari té un like cada 56 impressions i el de l’Elisenda un cada 344 visulaitzacions.;2023-01-30 20:10:00+00:00
50;1620182210975502336;Pin;"niotoris odotnaroborolse#. npm  .nueqeun d   nador.bergo  es   qcerepael q   zreertiug arom a   tonju alrur la en anmopkoos arcm  .añehuep lalvi  en o pin ld staief  laen   .toibhic. ..d atesfi la ennamopko socrma.aertmu cava d siagalre .traesnualnco#!.""osicaty  vi osicat  vi";2023-01-30 22:08:00+00:00
51;1620140606952448000;Pin;El capitalisme no té pietat, ni veu més enllà dels euros, potser si comencen a pagar els serveis ecosistèmics de la pagesia retroactivament fins als anys 70, es pugui salvar al sector agrari de petita i mitjana escala.;2023-01-30 19:23:00+00:00
52;1620133946578321408;Pin;Circula pollós;2023-01-30 18:56:00+00:00
53;1620131050025279488;Pin;I pel no turisme també...a pobles sense turisme com pot ser @Malda_Urgell, on realment és important el desenvolupament rural, no hi han lloguers i a més cars. Tampoc feina. Treballar a BCN per sobreviure. Perquè a BCN no es pot viure. #novaruralitat;2023-01-30 18:45:00+00:00
