original_lemma;loanword_lemma;loanword_form;loanword_pos;loanword_features;loanword_type;loanword_category
comment;comment;comment;noun, verb;lemma;direct borrowing;foreign lexeme
tag;tag;tag;noun, verb;lemma;direct borrowing;foreign lexeme
tag;tag;tags;noun;plural;direct borrowing;foreign lexeme
story;story;story;noun;lemma;direct borrowing;foreign lexeme
like;like;like;noun, verb;lemma;direct borrowing;foreign lexeme
like;like;likes;noun;plural;direct borrowing;foreign lexeme
message;message;message;noun, verb;lemma;direct borrowing;foreign lexeme
profile;profile;profile;noun;lemma;direct borrowing;foreign lexeme
tweet;tweet;tweet;noun, verb;lemma;direct borrowing;foreign lexeme
tweet;tweet;tweets;noun;plural;direct borrowing;foreign lexeme
post;post;post;noun, verb;lemma;direct borrowing;foreign lexeme
post;post;posts;noun;plural;direct borrowing;foreign lexeme
retweet;retweet;retweet;noun, verb;lemma;direct borrowing;foreign lexeme
retweet;retweet;retweets;noun;plural;direct borrowing;foreign lexeme
reply;reply;reply;noun, verb;lemma;direct borrowing;foreign lexeme
follower;follower;follower;noun;lemma;direct borrowing;foreign lexeme
block;block;block;verb;lemma;direct borrowing;foreign lexeme
pin;pin;pin;verb;lemma;direct borrowing;foreign lexeme
share;share;share;verb;lemma;direct borrowing;foreign lexeme
ban;ban;ban;noun, verb;lemma;direct borrowing;foreign lexeme
repost;repost;repost;noun, verb;lemma;direct borrowing;foreign lexeme
follow;follow;follow;verb;lemma;direct borrowing;foreign lexeme
mute;mute;mute;verb;lemma;direct borrowing;foreign lexeme
friend;friend;friend;noun, verb;lemma;direct borrowing;foreign lexeme
unfollow;unfollow;unfollow;verb;lemma;direct borrowing;foreign lexeme
direct message;direct message;direct message;noun;lemma;direct borrowing;foreign lexeme
subscribe;subscribe;subscribe;verb;lemma;direct borrowing;foreign lexeme
seen;seen;seen;verb;participle;direct borrowing;foreign lexeme
comment;comentari;comentaris;noun;plural;calque;native lexeme
tag;etiqueta;etiquetes;noun;plural;calque;native lexeme
story;història;històries;noun;plural;calque;native lexeme
like;m'agrada;m'agrades;noun;plural;calque;native lexeme
message;missatge;missatges;noun;plural;calque;native lexeme
profile;perfil;perfils;noun;plural;calque;native lexeme
tweet;piulada;piulades;noun;plural;calque;native lexeme
tweet;piulet;piulets;noun;plural;calque;native lexeme
post;publicació;publicacions;noun;plural;semantic extension;native lexeme
retweet;repiulet;repiulets;noun;plural;calque;native lexeme
reply;resposta;respostes;noun;plural;calque;native lexeme
retweet;retuit;retuits;noun;plural;full adaptation;foreign lexeme
follower;seguidor;seguidora;noun;feminine;calque;native lexeme
follower;seguidor;seguidors;noun;plural;calque;native lexeme
tweet;tuit;tuits;noun;plural;full adaptation;foreign lexeme
block;blocar;blocant;verb;gerund;calque;native lexeme
block;blocar;blocat;verb;participle;calque;native lexeme
block;bloquejar;bloquejant;verb;gerund;calque;native lexeme
block;bloquejar;bloquejat;verb;participle;calque;native lexeme
pin;clavar;clavant;verb;gerund;calque;native lexeme
pin;clavar;clavat;verb;participle;calque;native lexeme
comment;comentar;comentant;verb;gerund;calque;native lexeme
comment;comentar;comentat;verb;participle;calque;native lexeme
share;compartir;compartint;verb;gerund;calque;native lexeme
share;compartir;compartit;verb;participle;calque;native lexeme
tag;etiquetar;etiquetant;verb;gerund;calque;native lexeme
